city; venues
Charlotte; 8550
Concord; 759
Matthews; 666
Huntersville; 566
Fort Mill; 559
Gastonia; 438
Cornelius; 428
Pineville; 313
Indian Trail; 255
Kannapolis; 154
Waxhaw; 151
Belmont; 139
Harrisburg; 109
Mint Hill; 94
Davidson; 86
Indian Land; 49
Mount Holly; 46
Lake Wylie; 40
Dallas; 27
Tega Cay; 25
Stallings; 22
Wesley Chapel; 19
Stanley; 17
Midland; 17
Lowell; 13
Cramerton; 12
Weddington; 10
Concord Mills; 4
McAdenville; 3
Lowesville; 2
Ballantyne; 2
Ft. Mill; 2
Marvin; 2
Indian Lands; 1
Paw Creek; 1
Char; 1
Fort  Mill; 1
Charlotte NC; 1
Ranlo; 1
Lake Park; 1
Statesville; 1
Wood Dale; 1
FORT MILL; 1
Harrisbug; 1
Promenade; 1
Mathews; 1
Charlote; 1
CHARLOTTE; 1
Mc Adenville; 1
Mount Mourne; 1
Harrisburg,; 1
Mint  Hill; 1
Lake Norman; 1
S Concord; 1
Mattews; 1
Indian land; 1
MATTHEWS; 1
Indian Land,; 1
Charlotte (University); 1
