city; venues
Edinburgh; 3867
Dunfermline; 42
Livingston; 36
Musselburgh; 22
Kirkcaldy; 21
South Queensferry; 15
Dalkeith; 15
Penicuik; 14
Leith; 9
Loanhead; 9
Haddington; 8
Glenrothes; 7
New Town; 6
Midlothian; 6
Queensferry; 5
Old Town; 5
Scotland; 4
Ingliston; 4
Stockbridge; 4
Gullane; 4
City of Edinburgh; 4
Newbridge; 4
Glasgow; 4
Lasswade; 4
East Lothian; 3
Firth of Forth; 3
Portobello; 3
Bonnyrigg; 3
Leven; 3
Gorebridge; 3
Juniper Green; 3
Inverkeithing; 3
Prestonpans; 3
Ratho; 2
Aberlady; 2
Lauder; 2
Burntisland; 2
Cowdenbeath; 2
Newington; 2
Balerno; 2
Tranent; 2
Fountainbridge; 1
Aberdour; 1
Pencaitland; 1
Kirknewton; 1
Edinburgh City of; 1
; 1
Shandwick; 1
South Gyle; 1
East Loth; 1
Bonnyrigg and Lasswade; 1
Bruntsfield; 1
Roslin; 1
Straiton; 1
Newhaven; 1
Longstone; 1
Livingstone; 1
Edimbourg; 1
North Queensferry; 1
West Lothian; 1
Cramond; 1
Broxburn; 1
Currie; 1
Water of Leith; 1
Blackness; 1
London; 1
Quartermile; 1
Longniddry; 1
Dalgety Bay; 1
