city; venues
Las Vegas; 26761
Henderson; 4462
North Las Vegas; 1393
Boulder City; 269
las vegas; 29
Paradise; 24
N Las Vegas; 24
Summerlin; 11
Blue Diamond; 10
Nellis Afb; 10
Nellis AFB; 9
N. Las Vegas; 9
Spring Valley; 8
Enterprise; 7
Las  Vegas; 5
Las vegas; 5
Clark; 4
South Las Vegas; 4
Nellis Air Force Base; 3
LasVegas; 2
Summerlin South; 2
Las Vegas, NV; 1
Henderson (Green Valley); 1
C Las Vegas; 1
Central Henderson; 1
N W Las Vegas; 1
Las Vegas Nevada; 1
Las Vegas & Henderson; 1
West Las Vegas; 1
Centennial Hills; 1
Hendserson; 1
110 Las Vegas; 1
Henderson and Las vegas; 1
Las Vegass; 1
SLOAN; 1
Lake Las Vegas; 1
Henderson Nevada; 1
N E Las Vegas; 1
Henderston; 1
Sloan; 1
Las Vegas,; 1
Las Vegas East; 1
CITY CENTER; 1
W Spring Valley; 1
Clark County; 1
Green Valley; 1
Nellis; 1
Whitney; 1
W Henderson; 1
Citibank; 1
