city; venues
Montréal; 5708
Laval; 332
Montreal; 263
Brossard; 147
Verdun; 138
Saint-Laurent; 121
Pointe-Claire; 92
Westmount; 86
Dorval; 84
Lasalle; 71
Longueuil; 59
Dollard-des-Ormeaux; 58
Vaudreuil-Dorion; 54
Dollard-Des-Ormeaux; 51
Saint-Sauveur; 48
Lachine; 43
Pierrefonds; 43
Outremont; 38
Saint-Leonard; 37
Kirkland; 36
Boucherville; 27
Mont-Royal; 24
Saint-Lambert; 22
Saint-Jean-sur-Richelieu; 20
Saint-Hubert; 19
Chateauguay; 18
Sainte-Julie; 15
Saint-Jerome; 15
Saint-Eustache; 15
Boisbriand; 14
La Prairie; 14
Anjou; 14
Terrebonne; 14
Greenfield Park; 14
Sainte-Anne-de-Bellevue; 12
Chambly; 11
Rosemere; 11
Beaconsfield; 10
Saint-Hyacinthe; 10
Beloeil; 10
Champlain; 9
Sainte-Adele; 9
Rosemère; 9
Hudson; 9
Sainte-Anne-De-Bellevue; 8
Mont-Saint-Hilaire; 8
Blainville; 7
La Salle; 7
Saint-Jérôme; 7
Rouses Point; 6
Morin-Heights; 6
LaSalle; 6
Salaberry-De-Valleyfield; 6
Saint-Lazare; 6
Joliette; 6
Delson; 5
L'ile-Perrot; 5
Lachute; 5
Saint-Jean-Sur-Richelieu; 5
Saint-Constant; 5
Sainte-Therese; 5
Montreal-Nord; 5
Sainte-Thérèse; 5
Cote Saint-Luc; 5
Mascouche; 5
L'Île-Perrot; 5
Sainte-Genevieve; 4
Mirabel; 4
Repentigny; 4
Vimont; 4
Saint-Bruno-de-Montarville; 4
Kahnawake; 4
Mont-Saint-Gregoire; 4
Pointe-Aux-Trembles; 4
Rigaud; 4
Saint Laurent; 4
Châteauguay; 4
Rawdon; 3
Saint-Sauveur-des-Monts; 3
Piedmont; 3
Cote-Saint-Luc; 3
Montreal-Ouest; 3
St-Leonard; 3
Montreal-West; 3
Pointe Claire; 3
Oka; 3
Farnham; 3
Ormstown; 3
L'ile-Bizard; 2
Notre-Dame-De-L'ile-Perrot; 2
Communauté-Urbaine-de-Montréal; 2
St-Bruno-de-Montarville; 2
Mercier; 2
Roxboro; 2
Napierville; 2
Baie-d'Urfé; 2
Noyan; 2
Deux-Montagnes Regional County Municipality; 2
Candiac; 2
Sainte-Catherine; 2
Prévost; 2
Saint-Bruno; 2
Lachenaie; 2
Sainte-Adèle; 2
St-Jerome; 2
Dollard-Des Ormeaux; 2
Churubusco; 1
St-Eugène; 1
Mont St-hilaire; 1
Saint-Philippe; 1
Sainte-Anne-des-Plaines; 1
Sainte-Marthe; 1
Godmanchester; 1
Ste-Rose; 1
Fabreville; 1
McMasterville; 1
Saint-Pierre-de-Véronne-à-Pike-River; 1
Sainte-Madeleine; 1
Chomedey, Laval; 1
Saint - Hyacinthe; 1
Côte-Saint-Luc; 1
Le Haut-Saint-Laurent Regional County Municipality; 1
St-Clet; 1
Montéal; 1
Montréal-Nord; 1
Charlemagne; 1
Old Port of Montreal; 1
St-Lazare; 1
Montréal-Ouest; 1
Saint-Bernard-De-Lacolle; 1
Saint-Hippolyte; 1
Le Sud-Ouest; 1
Sainte-Geneviève; 1
Saint-Marc-Sur-Richelieu; 1
L'Île-Perrôt; 1
Dollard-des Ormeaux; 1
L'Île-Bizard; 1
Saint-Pie; 1
St Leonard; 1
St Bernard de Lacolle; 1
Point Claire; 1
Sainte-Marguerite-du-Lac-Masson; 1
Varennes; 1
Otterburn Park; 1
Bois-Des-Filion; 1
Sainte-Dorothée; 1
St-Laurent; 1
Île des Soeurs; 1
Saint-Bernard-de-Lacolle; 1
Pincourt; 1
Vieux Montreal; 1
Bedford; 1
Alburgh; 1
Montréal (Québec); 1
Sainte-Thérèse-de-Blainville; 1
Saint-Isidore-De-Laprairie; 1
L'Ile-Perrot; 1
Chertsey; 1
Chatauguay; 1
Baie-D'urfe; 1
Saint-Roch-De-L'achigan; 1
Laval, Pont Viau; 1
St. Jean Sur Richelieu; 1
Mooers; 1
Lavaltrie; 1
Saint-Paul; 1
Montreal-Quest; 1
Île-des-Soeurs; 1
Beauharnois; 1
Lacolle; 1
Huntingdon; 1
Les Coteaux; 1
Saint Leonard; 1
Mount Royal; 1
Montral; 1
Saint-Basile-Le-Grand; 1
Laval, Ste Dorothee; 1
Hemmingford; 1
Saint-Henri; 1
Saint-Charles-Borromée; 1
Alburg; 1
St-Benoît de Mirabel; 1
St-Jean-sur-Richelieu; 1
Sainte-thérèse; 1
Saint-Charles-Borromee; 1
Ste-Therese-de-Blainville; 1
St-Lazare-de-Vaudreuil; 1
L'assomption; 1
Saint-Marc-sur-Richelieu; 1
Vaudreuil; 1
Maple Grove; 1
Estérel; 1
Sainte-Rose; 1
