city; venues
Phoenix; 17210
Scottsdale; 8226
Mesa; 5757
Tempe; 4263
Chandler; 3993
Glendale; 3205
Gilbert; 3127
Peoria; 1706
Surprise; 1018
Goodyear; 772
Avondale; 628
Cave Creek; 371
Fountain Hills; 320
Sun City; 217
Litchfield Park; 206
Tolleson; 132
Paradise Valley; 126
Laveen; 122
MESA; 111
El Mirage; 109
Anthem; 87
Sun City West; 85
Carefree; 83
San Tan Valley; 75
Youngtown; 50
Higley; 23
Sun Lakes; 23
Guadalupe; 21
Ahwatukee; 16
Waddell; 14
Fort McDowell; 14
Laveen Village; 12
Roosevelt; 8
Pheonix; 5
Scottdale; 5
Litchfield; 4
Central City Village; 3
North Scottsdale; 2
Phoenix,; 2
Superstition Mountain; 1
Ahwahtukee; 1
Schottsdale; 1
Sunnyslope; 1
Rainbow Valley; 1
Desert Ridge; 1
Stetson Valley; 1
Phoneix; 1
Phoenix Valley; 1
Peoria Ave Citizen's Group; 1
Suncity; 1
Phoenix AZ; 1
The Promenade; 1
Surprise Crossing; 1
Goodyear AZ; 1
Old Scottsdale; 1
Maricopa County; 1
Glbert; 1
Old Town Scottsdale; 1
Arrowhead; 1
San Tan; 1
Pheonix AZ; 1
Fountain Hls; 1
Chandler-Gilbert; 1
East Mesa; 1
Sun City Anthem; 1
Mesa Arizona; 1
Phoenix, AZ; 1
Meza; 1
Phoniex; 1
Phoenix metro area; 1
mesa; 1
Gelndale; 1
Gillbert; 1
Central City; 1
Phx; 1
Scotesdale; 1
Phoeniix; 1
Gilbert AZ; 1
Glendale Az; 1
Suprise; 1
Ahwatukee Foothills Village; 1
Estrella Village; 1
peoria; 1
Chander; 1
Mesa AZ; 1
Scottsdale, AZ; 1
Westworld Scottsdale; 1
