city; venues
Pittsburgh; 6352
Monroeville; 360
Wexford; 255
Bethel Park; 174
Bridgeville; 169
Coraopolis; 162
Canonsburg; 153
West Mifflin; 122
Homestead; 118
Irwin; 111
Gibsonia; 105
Murrysville; 103
Sewickley; 102
Carnegie; 98
Allison Park; 81
McMurray; 75
New Kensington; 72
McKees Rocks; 64
McKeesport; 54
North Huntingdon; 51
North Versailles; 50
Verona; 47
Oakmont; 47
Glenshaw; 43
Oakdale; 40
Bellevue; 37
Ambridge; 36
Moon Township; 36
Mc Kees Rocks; 33
Pleasant Hills; 31
White Oak; 31
Munhall; 26
Elizabeth; 25
Penn Hills; 24
Cheswick; 22
Robinson Township; 22
Lower Burrell; 21
Aspinwall; 19
West Homestead; 19
Turtle Creek; 18
Monongahela; 18
Imperial; 17
Plum; 16
Mount Lebanon; 16
Trafford; 15
Brentwood; 14
Springdale; 14
Clairton; 13
West View; 13
Finleyville; 13
Millvale; 13
Jefferson Hills; 12
Hampton Township; 11
Castle Shannon; 11
Dravosburg; 11
Wilmerding; 10
Braddock; 10
South Park; 10
Heidelberg; 10
Leetsdale; 10
Robinson; 10
Mc Murray; 9
Wilkinsburg; 9
Harrison City; 9
Moon; 9
Etna; 9
Crafton; 9
Sharpsburg; 8
Swissvale; 8
Cecil; 8
Avalon; 8
Upper Saint Clair; 7
South Park Township; 7
Mt Lebanon; 6
Houston; 6
Dormont; 6
clinton; 6
East Pittsburgh; 6
Upper St Clair; 6
Ross Township; 6
Glassport; 6
McCandless Township; 6
Mt. Lebanon; 5
Mc Donald; 5
Blawnox; 5
McCandless; 5
McDonald; 4
Oakland; 4
Bellvue; 4
Harmarville; 4
Presto; 4
Upper St. Clair; 4
Pitcairn; 4
Venetia; 4
Downtown; 4
Arnold; 4
Squirrel Hill; 4
East Mc Keesport; 3
Kennedy Township; 3
Forest Hills; 3
Library; 3
Moon Twp; 3
New Eagle; 3
Creighton; 3
Duquesne; 3
Pittsburg; 3
McMurry; 3
Wildwood; 3
Herminie; 3
Shadyside; 3
Emsworth; 3
Russellton; 3
Harwick; 2
Shaler Township; 2
Clinton; 2
West Elizabeth; 2
East Liberty; 2
Monoroeville; 2
Morgan; 2
East McKeesport; 2
Franklin Park; 2
Neville Island; 2
Cuddy; 2
Ross; 2
Rillton; 2
Edgewood; 2
Buena Vista; 2
Peters Township; 2
Baldwin; 2
Ingomar; 2
Mcmurray; 2
Rankin; 2
Brookline; 2
McKnight; 2
South Hills; 1
Mount Washington; 1
Moneroeville; 1
Bloomfield; 1
Lower Lawrenceville; 1
North Braddock; 1
Pgh Int Arprt; 1
Wharton; 1
Ben Avon; 1
Richland Township; 1
Harmar Township; 1
Mccandless Township; 1
Westview; 1
Sturgeon; 1
Wilkins Township; 1
Crescent; 1
Robinson Twp.; 1
Monroeville - Pit.; 1
Ingram; 1
West Bridgewater; 1
MC Murray; 1
Municipality of Murrysville; 1
Murrysville (Monroeville); 1
Lawrence; 1
Southside Flats; 1
Shady Side; 1
Indianola; 1
Regent Square; 1
Wilkens Township; 1
Green Tree; 1
Allegheny; 1
Pine; 1
Plum Boro; 1
Monreoville; 1
Bradfordwoods; 1
Mt. Washington; 1
Strip District; 1
Edgeworth; 1
Rural Ridge; 1
Banksville; 1
Chateau; 1
Pittsburch; 1
Mt. Oliver Boro; 1
Strabane; 1
Shaler; 1
North Huntington; 1
Canonsburd; 1
Elrama; 1
Mckeesport; 1
Robinson Town; 1
Hendersonville; 1
Northside; 1
Boston; 1
Side Slopes; 1
Spring Hill City View; 1
Hazelwood; 1
