city; venues
Toronto; 17202
Mississauga; 2724
Markham; 1563
North York; 1092
Scarborough; 986
Richmond Hill; 888
Brampton; 837
Vaughan; 768
Etobicoke; 697
Oakville; 660
Thornhill; 346
Newmarket; 294
Whitby; 291
Pickering; 282
Ajax; 252
Aurora; 206
Woodbridge; 206
East York; 141
York; 102
Concord; 96
Maple; 56
Stouffville; 53
Georgetown; 47
Whitchurch-Stouffville; 42
Unionville; 41
Bolton; 28
Caledon; 28
Bradford; 27
East Gwillimbury; 24
Bradford West Gwillimbury; 18
King City; 13
Schomberg; 9
Kleinburg; 8
Willowdale; 8
Nobleton; 8
Caledon East; 7
Brooklin; 6
Mount Albert; 6
Gormley; 5
King; 5
toronto; 5
Port Credit; 5
Missisauga; 5
Holland Landing; 5
Beeton; 4
Rexdale; 4
Don Mills; 4
St Davids; 3
Downtown Toronto; 3
Streetsville; 3
Downsview; 3
Weston; 3
Cooksville; 2
Etobiicoke; 2
Clarkson; 2
East Mississauga; 2
Whtiby; 2
NORTH YORK; 2
York Regional Municipality; 2
etobicoke; 2
Tottenham; 2
Goodwood; 2
Totronto; 1
Scaroborough; 1
Inglewood; 1
Yorkdale; 1
Kettleby; 1
Mississauaga; 1
North of Brampton; 1
Palgrave; 1
Toronto, Ontario; 1
East Credit; 1
Oakridges; 1
Tornto; 1
Scarborough,; 1
Thornhil; 1
AGINCOURT; 1
Toronto Division; 1
Etobicoke On; 1
Queensville; 1
West Toronto; 1
Mississuaga; 1
Leaside; 1
Tonronto; 1
Bond Head; 1
Pittsburgh; 1
Woodbridge (Vaughan); 1
East Ajax; 1
Oak Ridges; 1
Richmond Hil; 1
Scarbrough; 1
Thorncliffe Park; 1
Centre Island; 1
Malton; 1
Vaughn; 1
Caledon Village; 1
East Gwilimbury; 1
Ansnorveldt; 1
Glen Williams; 1
River Drive Park; 1
Pickering Ajax Whitby; 1
Scarobrough; 1
Whiitby; 1
Regional Municipality of York; 1
Hornby; 1
Claremont; 1
NorthYork; 1
Mt Albert; 1
North Toronto; 1
Ashburn; 1
Leslieville; 1
Ridgeville; 1
oakville; 1
Norval; 1
Vaughn City; 1
