_id;area_id;ratio;name;review_count;stars;categories;Offices & work premises;Shops & consumptive activies;Cafés & restaurants;Nightclubs & bars;Sport stadia & events;Cinemas & concert & theatres;Museums & art galleries;Public mobility;Monuments;Private transports
r6Jw8oRCeumxu7Y1WRxT7A;Champaign;-0.00047200546478982897;D&D Cleaning;4;5.0;Home Cleaning,Home Services,Window Washing;1;;;;;;;;;
2pD9wZWXDNsZf_MXd8rQtg;Champaign;-0.0006189134003208803;Carle Clinic Association;6;2.5;Doctors,Health & Medical;1;;;;;;;;;
zV_aclADLjx2KOql9F_FTw;Champaign;-0.0009752925877763329;Crepe Cafe;4;3.0;Restaurants,Creperies;;;1;;;;;;;
kyXEnWKQGWSThY6EcjORuw;Champaign;-0.013175371000466212;Zorba's Restaurant;109;4.0;Restaurants,Greek,Salad,Mediterranean;;;1;;;;;;;
N_W4JlpCw02VPSf5Mrxwqg;Champaign;-0.0012691084588384355;Dunkin' Donuts;7;4.0;Food,Donuts,Coffee & Tea;;;1;;;;;;;
W62GDd3OCQKXoifPHjaTag;Champaign;-0.002066211452887042;Essential Healing Therapeutic Massage & Bodywork;11;5.0;Massage Therapy,Massage,Fitness & Instruction,Beauty & Spas,Day Spas,Health & Medical,Active Life,Yoga;1;1;;;1;;;;;
zK9uMcGxF7AmZ7lPiB0PKQ;Champaign;-0.0005876317421242053;The Illini Shop;8;3.0;Sporting Goods,Books,Mags,Music & Video,Fashion,Used Bookstore,Sports Wear,Shopping,Men's Clothing,Souvenir Shops,Bookstores;;1;;;;;;;;
gEJZ5USuvC1r8_QvSvDCNA;Champaign;-0.010424902239025237;K-Bowl;50;3.5;Restaurants,Asian Fusion,Korean;;;1;;;;;;;
zAD08AT1GgX-cVNy9iMq4A;Champaign;-0.006648858520706604;Activities and Recreation Center - ARC;23;4.0;Gyms,Sports Clubs,Active Life,Recreation Centers,Fitness & Instruction,Badminton;;1;;;1;;;;;
LGQ0Pggxk-dQNAqVA39v8g;Champaign;0.0005345687811831789;Glenn Poor's Audio-Video;3;5.0;Shopping,Electronics;1;1;;;;;;;;
rwuiLDAkVUNEJex-oQlA7g;Champaign;-0.0022756827048114434;Green Street Realty;12;1.0;Commercial Real Estate,Real Estate,Real Estate Services,Home Services,Property Management;1;;;;;;;;;
aR0kTa6WEFROLY5dJ4cmrg;Champaign;-0.0020349297946903673;Green Onion;17;3.5;Imported Food,Food,Grocery,Ethnic Food,Specialty Food;1;;1;;;;;;;
poDxgsg-i02WzqBujqEm-A;Champaign;-0.00047200546478982897;Mettler Therapy;3;5.0;Beauty & Spas,Massage Therapy,Occupational Therapy,Massage,Health & Medical,Physical Therapy;1;1;;;;;;;;
m8lSbR6oLh5zw_IepTLhKg;Champaign;-0.0006501950585175553;Cost Cutters;3;2.5;Hair Salons,Beauty & Spas,Hair Stylists,Barbers,Tanning;;1;;;;;;;;
hEjYQlKcn-ClE5rbCN6RBQ;Champaign;-0.00047200546478982897;United States Post Office;3;4.5;Public Services & Government,Post Offices;1;;;;;;;;;
1fBxvfNd9JZbR5R1YLHmoQ;Champaign;-0.0010909188651107092;FedEx Office Print & Ship Center;9;3.5;Local Services,Signmaking,Printing Services,Professional Services,Shipping Centers;1;;;;;;;;;
rNbAIbTn0zN8yNk0IV7dfQ;Champaign;-0.006051726423130075;The Cake Artist's Studio;32;4.5;Event Planning & Services,Grocery,Bakeries,Food,Wedding Planning;1;;1;;;;;;;
zk-TCyb42tf6neJk5X1AuQ;Champaign;-0.00047200546478982897;Robin's Nest;3;4.5;Accessories,Used,Vintage & Consignment,Women's Clothing,Fashion,Shopping;;1;;;;;;;;
6vsjWxIMHs-34L9wuTBJRw;Champaign;-0.0037229807573776054;The Home Depot;13;3.0;Home & Garden,Home Services,Nurseries & Gardening,Building Supplies,Appliances,Hardware Stores,Shopping;1;1;;;;;;;;
