_id;area_id;ratio;name;review_count;stars;categories;Offices & work premises;Shops & consumptive activies;Cafés & restaurants;Nightclubs & bars;Sport stadia & events;Cinemas & concert & theatres;Museums & art galleries;Public mobility;Monuments;Private transports
fNMVV_ZX7CJSDWQGdOM8Nw;Charlotte;-0.00027116017819097424;Showmars Government Center;7;3.5;Restaurants,American (Traditional);;;1;;;;;;;
gAy4LYpsScrj8POnCW6btQ;Charlotte;-8.830348975702871e-05;Toast Cafe;6;3.5;Food,American (Traditional),Coffee & Tea,Restaurants;;;1;;;;;;;
7gquCdaFoHZCcLYDttpHtw;Charlotte;-0.00022617330095808975;Bubbly Nails;17;4.0;Nail Salons,Beauty & Spas;;1;;;;;;;;
S4a42azhoOmr0fpeNkggHg;Charlotte;-7.747433662599264e-05;By Design;3;2.5;Home & Garden,Furniture Stores,Shopping;;1;;;;;;;;
zjySmTfL9WiMDVgp8-Jp3w;Charlotte;-0.00011621150493898897;TCBY;3;3.5;Desserts,Ice Cream & Frozen Yogurt,Food;;;1;;;;;;;
ykJM7EuGziATZ5u2qIT08g;Charlotte;-4.9566321444032375e-05;My Fitness World;4;5.0;Active Life,Fitness & Instruction,Gyms;;1;;;1;;;;;
6aFAEeJ3nS-iWGt7Tn7S0Q;Charlotte;-1.0829153131036057e-05;KS Audio Video;5;5.0;Home Services,Television Service Providers,Home Automation,Home Theatre Installation,Professional Services;1;;;;;;;;;
NFTh6mj3X2AnHJCKIFUk5Q;Charlotte;0.0002465926924264944;Fairfield Inn & Suites;17;4.0;Hotels,Event Planning & Services,Hotels & Travel;1;;;;;;;;;
nJ3mXjItS8WcwhYbzbfDQw;Charlotte;-0.00012704065807002502;Scott's Karat Patch;5;4.0;Watch Repair,Jewelry Repair,Shopping,Local Services,Jewelry;;1;;;;;;;;
HAX1zec191t7QkT2sBZ76A;Charlotte;-8.830348975702871e-05;La Isla Cuban Restaurant;4;3.0;Restaurants,Cuban;;;1;;;;;;;
c6Q3HP4cmWZbD9GX8kr4IA;Charlotte;-0.00020451499469601768;Pep Boys;8;3.5;Auto Parts & Supplies,Auto Repair,Tires,Automotive;1;;;;;;;;;
c7X2SdKxVJMaOnFROO8WEg;Charlotte;-0.0006027158309570169;Finga Lickin' Caribbean Eatery;21;4.5;Pizza,Food,Internet Cafes,Restaurants,Caribbean;;1;1;;;;;;;
