_id;area_id;ratio;name;review_count;stars;categories;Offices & work premises;Shops & consumptive activies;Cafés & restaurants;Nightclubs & bars;Sport stadia & events;Cinemas & concert & theatres;Museums & art galleries;Public mobility;Monuments;Private transports
tRVx2c89coruPRwYhGTcTw;Cleveland;-0.0033625490935620577;Yuzu;78;3.5;Nightlife,Izakaya,Comfort Food,Cocktail Bars,Asian Fusion,Bars,Japanese,Restaurants,Gastropubs,Tapas/Small Plates;;;1;1;;;;;;
8XQmnE-v6RrsHiqEz6QXdg;Cleveland;-0.00023048112935753384;Havel's Flowers & Greenhouses;4;3.5;Florists,Wholesale Stores,Shopping,Flowers & Gifts;;1;;;;;;;;
w5WBrukfSuEyTjYUYlV4Ug;Cleveland;-0.000539155258932268;International Exposition Center;16;4.0;Venues & Event Spaces,Event Planning & Services;1;;;;;1;;;;
YvxQOMstU2MVDr2uNHs_vw;Cleveland;-0.0009846671388871028;Mitchell's Ice Cream - Solon Shop;42;4.5;Ice Cream & Frozen Yogurt,Food;;;1;;;;;;;
veXxt8rGY_RJPpA5QkHT9Q;Cleveland;-0.002886136456086757;Barrio;97;3.5;Food,Restaurants,Tacos,Food Trucks,Mexican;;;1;;;;;;;
CfEJGhzBFkWKoe-UTT2jiw;Cleveland;-0.00011626503250228371;Exotic Nails Touch;12;4.0;Beauty & Spas,Nail Salons;;1;;;;;;;;
iOudjMD1sFvD9QTltPQiTg;Cleveland;-7.92174680407171e-05;Motel 6 Cleveland-Willoughby;15;2.5;Hotels & Travel,Event Planning & Services,Hotels;1;;;;;;;;;
8GL63JMAiD0mI-Z1Y-kT2Q;Cleveland;-9.671678244798363e-05;State Theater;5;4.5;Arts & Entertainment,Performing Arts;;;;;;1;;;;
vIAQV1_p48AsKP-B9iULwg;Cleveland;-0.0002500293794118339;Europtical;6;5.0;Eyewear & Opticians,Health & Medical,Shopping,Optometrists;1;1;;;;;;;;
GDOAg680Gmi6S1MlhU7B1g;Cleveland;-0.0002881014116969173;Taco Bell;5;2.0;Mexican,Tex-Mex,Restaurants,Fast Food;;;1;;;;;;;
1cLXGXThDYZ5WK_KpBLtkw;Cleveland;-0.006099470823979032;Koko Bakery;167;4.0;Bakeries,Coffee & Tea,Bubble Tea,Food;;;1;;;;;;;
BiBILjVBFpT3QtYRwhrL6w;Cleveland;-0.00011626503250228371;Washington & Lee Service, Inc;9;4.0;Auto Repair,Gas Stations,Automotive;1;;;;;;;;;
c1HfT-Rm4iYSxsAsk8eW4Q;Cleveland;-0.00011524056467876692;Cleveland Dog Walk;5;5.0;Pet Services,Pet Sitting,Dog Walkers,Pets;1;;;;;;;;;
paN928wuyEHzxw7Zn5_snw;Cleveland;-0.00023048112935753384;DSW Designer Shoe Warehouse;4;4.0;Fashion,Shoe Stores,Shopping;;1;;;;;;;;
akRtfcCezswizRIaAqJ4fQ;Cleveland;-0.0003271979118055175;KFC;9;2.0;Chicken Wings,Restaurants,Fast Food;;;1;;;;;;;
kpM-NegY__31O-XMEEesdg;Cleveland;-0.00023048112935753384;Banana Republic;4;3.0;Shopping,Sporting Goods,Women's Clothing,Men's Clothing,Sports Wear,Fashion;;1;;;;;;;;
7fiIMBxbOYdAv3XMcmWivw;Cleveland;-5.762028233938346e-05;Renee's Relaxation and Body Mechanics;3;3.0;Massage,Beauty & Spas;;1;;;;;;;;
Svs-B-a5-13D2dGTKxLsyw;Cleveland;-0.000134788814733067;Mr Chicken;4;3.0;Restaurants,Fast Food;;;1;;;;;;;
GlZMZrA-whyu1INVXcvRnw;Cleveland;-0.00017286084701815038;Al Wilhelmy Flowers, Inc.;3;4.0;Fruits & Veggies,Shopping,Specialty Food,Flowers & Gifts,Food,Florists;;1;1;;;;;;;
UuxH5yQpl73XJkzfLN-qdg;Cleveland;-0.0005432531302263352;Cleveland Indians;36;4.0;Stadiums & Arenas,Arts & Entertainment,Professional Sports Teams;;;;;1;;;;;
J-0_mtG3QyZ_7pBMoZBkfQ;Cleveland;-0.0006348475735567349;North Chagrin Nature Center-Cleveland Metroparks;16;4.0;Amusement Parks,Parks,Active Life;;;;;;;;;;
btRo30YqzXeTbgxk6gnLMw;Cleveland;-0.00011524056467876692;Pizza Hut;3;1.5;Pizza,Italian,Chicken Wings,Restaurants;;;1;;;;;;;
pEMoLmRkS2dyIm_KpIr4hg;Cleveland;-7.716853239368355e-05;Ben's Auto Body Specialists;3;5.0;Body Shops,Automotive;1;1;;;;;;;;
VGRn5KgYKMkqdIKtBUzQQA;Cleveland;-0.0023901755685571567;Wahlburgers;100;3.0;American (Traditional),Burgers,Restaurants;;;1;;;;;;;
FT08e7Kzgi0Eu0hI4FFYTA;Cleveland;-0.00023048112935753384;The Corner Pub;4;3.0;Bars,Nightlife,Dive Bars;;;;1;;;;;;
YpwmtRca3LEen-GOiuhI3g;Cleveland;-0.00011524056467876692;Urban Auto Center;3;5.0;Automotive,Auto Repair;1;;;;;;;;;
NQoHMr3U7fIWRC1eCTYe4w;Cleveland;-0.00011524056467876692;CVS Pharmacy;3;1.5;Drugstores,Shopping;;1;;;;;;;;
Aqz58iWN2FNa0Wq72Y6ZeA;Cleveland;-0.00011524056467876692;ABM Parking;3;1.0;Automotive,Parking;1;;;;;;;1;;
n7rL5vPR5zHvTYvxcnihAg;Cleveland;-0.0002500293794118339;Cleveland Metrobark;6;4.0;Pet Groomers,Pet Sitting,Pets,Pet Services;1;;;;;;;;;
g3HuShjhEjDxOy6Ykp9l4A;Cleveland;-0.0004609622587150677;Buehler's Fresh Foods;8;4.0;Food,Grocery;1;;;;;;;;;
lK-wuiq8b1TuU7bfbQZgsg;Cleveland;-0.00023048112935753384;Hingetown;4;3.0;Shopping,Flowers & Gifts,Arts & Entertainment,Cafes,Coffee & Tea,Restaurants,Local Flavor,Museums,Shopping Centers,Art Galleries,Florists,Food;;1;1;;;;1;;;
wztnDEbXD1VNvHMMPj2tMw;Cleveland;-0.0009445461709549859;Steak 'n Shake;42;1.5;Burgers,Fast Food,American (New),American (Traditional),Breakfast & Brunch,Restaurants,Diners;;;1;;;;;;;
C_5X1heCp_eQyzfmM6tGog;Cleveland;-0.000269577629466134;Red Cedar Coffee Company;8;5.0;Food,Specialty Food,Coffee & Tea;;;1;;;;;;;
oHeiAs-mnDJU1_4BD8_5Dg;Cleveland;-0.002018758817525455;Señor Tequila Mexican Grill & Cantina;49;3.5;Mexican,Restaurants;;;1;;;;;;;
2Oj61EYHwbH6JdrLp3alSg;Cleveland;-7.716853239368355e-05;barre3 - Solon;3;5.0;Pilates,Yoga,Barre Classes,Active Life,Fitness & Instruction;;;;;1;;;;;
tpG_KqvR1v2GrlLKNAChBw;Cleveland;-0.00017286084701815038;Wings Sports Bar & Grill;4;3.0;Bars,American (Traditional),Restaurants,Sports Bars,Nightlife;;;1;1;;;;;;
eY2i8JbK0AnFvMs-CyV39w;Cleveland;-0.0001543370647873671;Pizza Hut;8;1.5;Restaurants,Italian,Pizza,Chicken Wings;;;1;;;;;;;
iQU50k9xnXLtRPfrwRPVMw;Cleveland;-0.000134788814733067;Marshalls;5;3.5;Fashion,Shopping,Department Stores;;1;;;;;;;;
