_id;area_id;ratio;name;review_count;stars;categories;Offices & work premises;Shops & consumptive activies;Cafés & restaurants;Nightclubs & bars;Sport stadia & events;Cinemas & concert & theatres;Museums & art galleries;Public mobility;Monuments;Private transports
F31RycVVooeIOp9jsXmg6g;Edinburgh;-0.0018700446443734493;The Bluebird Cafe;16;4.5;Breakfast & Brunch,Diners,Restaurants,Cafes,British;;;1;;;;;;;
KbSoYXHUz_Bjo-v0VWHDrw;Edinburgh;-0.006532897806812879;St. Andrew Square;14;4.5;Active Life,Parks,Local Flavor;;;;;;;;;;
3gM8zh_OaubYXNnQNxAYKQ;Edinburgh;-0.0013999066728884741;Planet X;3;2.5;Sports Wear,Sporting Goods,Shopping,Bikes,Fashion;;1;;;;;;;;1
inaACfObL1NBNJmBG11iuQ;Edinburgh;-0.004491805043915789;Global Deli;13;4.0;Restaurants,Food,Sandwiches,Coffee & Tea,Delis;;;1;;;;;;;
Di5ApLgoQpcv5Aew82fI_A;Edinburgh;-0.006009246209675507;The Rendezvous;19;3.5;Restaurants,Cantonese,Chinese;;;1;;;;;;;
hf8P2jkE6xT6ZuoasempCQ;Edinburgh;-0.0023331777881474567;Tesco Extra;5;4.0;Automotive,Food,Grocery,Beer,Wine & Spirits,Gas Stations;1;;;1;;;;;;
OvbLKXkJCg8ZMHX9L5faIA;Edinburgh;-0.008110857425935961;Bread Meats Bread;28;4.0;Burgers,Restaurants;;;1;;;;;;;
T2jfXhvQPk9wLdt1OVV-Kg;Edinburgh;-0.004844408522529521;Rose Street Brewery;24;3.0;Pubs,Whiskey Bars,Nightlife,Breakfast & Brunch,Restaurants,Bars;;;1;1;;;;;;
AKhyVVdettT6M-ExhYKHdw;Edinburgh;-0.004666355576294913;Baxters;10;4.0;Restaurants,Food,Coffee & Tea,Soup;;;1;;;;;;;
9byQk8RGRi8VpAPZl_LeSQ;Edinburgh;-0.000758720582879859;Mac Tours City Tour;4;5.0;Hotels & Travel,Tours;;;;;;;;;;
935lHZ5uOpWRXGpp2ytCGQ;Edinburgh;-6.051845336336396e-05;Hotel Ibis;8;3.5;Hotels,Event Planning & Services,Hotels & Travel;1;;;;;;;;;
eSQt_QNjxNEYN3bF1fHbQg;Edinburgh;-0.009450245645461071;Monster Mash;25;3.5;British,Cafes,Restaurants;;;1;;;;;;;
XaVB1tHY8rjI6-xUmoHfRA;Edinburgh;-0.0013999066728884741;Antiques and Stuff;3;3.5;Antiques,Home & Garden,Shopping;;1;;;;;;;;
OWaab4qLPJ2hxmlcsGCk9g;Edinburgh;-0.0023331777881474567;Oxfam;5;4.0;Shopping,Local Services,Thrift Stores,Community Service/Non-Profit;1;1;;;;;;;;
Sssq4txZLCaMRqbFDQ9TvA;Edinburgh;-6.051845336336396e-05;Tune Hotel;7;4.0;Hotels & Travel,Event Planning & Services,Hotels;1;;;;;;;;;
zvmplfsPZeJPo-NKEzwq_w;Edinburgh;-0.00012103690672672792;Ibis Hotel;14;3.5;Hotels & Travel,Hotels,Event Planning & Services;1;;;;;;;;;
UqcK-YuHPzcWQtNjmhTb7g;Edinburgh;-0.006126780702546752;The Other Place;22;3.5;Restaurants,Brasseries,Pubs,Nightlife,Bars,Gastropubs,Scottish;;;1;1;;;;;;
Nqs1kYiswtRpGTj7NRPRHQ;Edinburgh;-0.0012253561405093504;Victor Scott;4;4.0;Flowers & Gifts,Shopping,Gift Shops,Local Flavor;;1;;;;;;;;
dvObDGjqEY0jbV4WVCdKaA;Edinburgh;-0.0013999066728884741;Dean Gallery Shop;3;4.5;Arts & Crafts,Event Planning & Services,Books,Mags,Music & Video,Flowers & Gifts,Cards & Stationery,Shopping,Bookstores;1;1;;;;;;;;
JKis0v-LqK_u0p4SVhJNDw;Edinburgh;-0.0023331777881474567;Herbie West End;5;4.0;Food,Coffee & Tea,Sandwiches,Delis,Restaurants;;;1;;;;;;;
IaU1D197YBGko9CuKNi9gw;Edinburgh;-0.0018665422305179655;Subway;5;3.5;Restaurants,Sandwiches,Fast Food;;;1;;;;;;;
1AYE97AIgg7j8mr92rwswA;Edinburgh;-0.0013999066728884741;Taj Express;3;4.5;Restaurants,Indian;;;1;;;;;;;
kbP2OqaNJMK0L3J_FU5nlg;Edinburgh;-0.001517441165759718;George Street Bar and Grill;7;3.5;Vegetarian,Restaurants,British,Steakhouses;;;1;;;;;;;
CcLih_2n9FZglQwGxY76CA;Edinburgh;-0.00700653819215334;Conan Doyle;39;3.5;Nightlife,Bars,Pubs;;;;1;;;;;;
5P7wNc00AXaCMDss69_avg;Edinburgh;-0.0035585339286568073;Hunter's Tryst;10;2.5;Restaurants,Gastropubs,British;;;1;;;;;;;
_FgODqQclua0klHLsFBmMg;Edinburgh;-0.0022191457091316966;Deep Sea Carry-Out;13;4.0;Fish & Chips,Restaurants;;;1;;;;;;;
BQkfjQlvnaqHKSZuBAQflQ;Edinburgh;-0.0015779596191230819;Bay Of Bengal;13;2.5;Pakistani,Vegetarian,Restaurants,Indian;;;1;;;;;;;
pulzr7A652UeikB_6qiSSw;Edinburgh;-0.003733084461035931;Javit's Takeaway;10;4.0;Restaurants,Fast Food;;;1;;;;;;;
HTZIyPvhmleYvwXpTMUzSg;Edinburgh;-0.0009332711152589828;ainslie park swimming;3;3.5;Swimming Pools,Active Life;;;;;1;;;;;
9pUBqtJzAtM0KsKt45u0Ug;Edinburgh;-0.000758720582879859;Snax;3;3.5;Fast Food,Restaurants;;;1;;;;;;;
nPK7ORQ9Hq9HoE8-ed4uMg;Edinburgh;-0.0023331777881474567;Jungle Adventure;5;3.0;Playgrounds,Kids Activities,Active Life;;1;;;;;;;;
UBOaXSUBrGtFMLtPaPiSMg;Edinburgh;-0.0012253561405093504;Coffee Angel;4;3.0;Food,Coffee & Tea;;;1;;;;;;;
TniAq_n8sypduw8xDQD6eg;Edinburgh;-0.004199720018665422;Glenogle Swim Centre;9;4.0;Active Life,Swimming Pools;;;;;1;;;;;
1ZzE1R_8q-DbDX6fCux4pg;Edinburgh;-0.0023331777881474567;Eighty Queen Street;6;3.5;Bars,British,Nightlife,Restaurants,Pubs;;;1;1;;;;;;
3PBtdSIyhMmxwPt7yHN9AA;Edinburgh;-0.0009332711152589828;Sala Cafe Bar;3;4.5;Restaurants,Nightlife,Food,Cafes,Bars,Gay Bars,Coffee & Tea;;;1;1;;;;;;
xNU9Gz21prvZ43ZXrXFvfw;Edinburgh;-0.0012253561405093504;Old Town Context;4;5.0;Shopping,Arts & Crafts,Home & Garden,Home Decor,Flowers & Gifts,Cards & Stationery,Event Planning & Services;1;1;;;;;;;;
OZ529jDJ0l8cpkC7j-X_dw;Edinburgh;-0.003733084461035931;USC;8;3.0;Fashion,Shopping;;1;;;;;;;;
E6lNO9l1zsZsTHAezrRz1Q;Edinburgh;0.00017455053237912376;Kinloch Anderson;3;4.5;Fashion,Shopping;;1;;;;;;;;
_8FG9X4aEPK8hd_OK3ezgw;Edinburgh;-0.0018665422305179655;M Butterfly;4;2.5;Fashion,Women's Clothing,Shopping;;1;;;;;;;;
