_id;area_id;ratio;name;review_count;stars;categories;Offices & work premises;Shops & consumptive activies;Cafés & restaurants;Nightclubs & bars;Sport stadia & events;Cinemas & concert & theatres;Museums & art galleries;Public mobility;Monuments;Private transports
b2I2DXtZVnpUMCXp1JON7A;Madison;-0.0007668633064955195;Meineke Car Care Center;9;3.5;Tires,Oil Change Stations,Auto Repair,Automotive;1;;;;;;;;;
Z-4KHBDbdwyC7PwA_JE5Xw;Madison;-0.0014845666557778163;William Jon Salon & Spa;14;4.5;Tanning,Day Spas,Spray Tanning,Beauty & Spas,Hair Salons;;1;;;;;;;;
zWb-kwaANIPMS_AFBbVOew;Madison;-0.0007668633064955195;Banana Republic;8;2.0;Men's Clothing,Women's Clothing,Fashion,Shopping;;1;;;;;;;;
B5EZlEDH6AVDk8tQGHAGqg;Madison;-0.003327984986196781;Villa Tap;34;4.0;American (Traditional),Nightlife,Dive Bars,Restaurants,Bars;;;1;1;;;;;;
NoxzrJbWS4xD9ft0ygD3JA;Madison;-0.0028495160866752497;The Brink Lounge;30;3.5;Event Planning & Services,Nightlife,Lounges,Venues & Event Spaces,Bars;1;;;1;;1;;;;
evwSIx2mmvpN0V0QteOAsA;Madison;-0.0008864805313759023;Spay Me! Clinic;11;3.0;Veterinarians,Pets;1;;;;;;;;;
AR6mrWO89rq-ku_t_E71AA;Madison;-0.0007177033492822966;Munchie Delivery;7;3.5;Convenience Stores,Desserts,Food Delivery Services,Food,Grocery;1;;1;;;;;;;
pOyt4Fon5n783Jc-hrSq-A;Madison;-0.000984800445802348;Apple Wellness - Fitchburg Health Store;14;4.5;Health Markets,Food,Beauty & Spas,Specialty Food,Shopping,Cosmetics & Beauty Supply;1;1;1;;;;;;;
AuE8ETTblOgY1CL3c9Up2g;Madison;-0.0003588516746411483;Walgreens;4;2.0;Drugstores,Food,Beauty & Spas,Convenience Stores,Cosmetics & Beauty Supply,Shopping;1;1;;;;;;;;
_--LAZXefssKWdyn-BTp9A;Madison;-0.0003588516746411483;Fitch's Chophouse & Spirits;3;2.0;Restaurants;;;1;;;;;;;
SdqVhZDwk8c89EnXPhKndQ;Madison;-0.0011257149811366679;J&P Fresh Market;11;4.0;Grocery,Food;1;;;;;;;;;
in7ne7A3fhah-gSA5UzuoQ;Madison;-0.0017238011055385818;Stanton Optical;23;1.5;Health & Medical,Eyewear & Opticians,Shopping,Optometrists;1;1;;;;;;;;
ugdUuApH3pYXggW5qpbALg;Madison;-0.0018434183304189646;Mr. Torta's;19;3.5;Restaurants,Mexican,Latin American;;;1;;;;;;;
lLvMebj99brxUp2bjlwizA;Madison;-0.0008373205741626794;Living Art Aquarium;8;4.0;Pets,Pet Stores;1;1;;;;;;;;
SOhDXouPwa6C5cf-3hcl2Q;Madison;0.001681046354476919;Hilton Madison;98;3.5;Party & Event Planning,Hotels & Travel,Wedding Planning,Venues & Event Spaces,Hotels,Event Planning & Services;1;;;;;1;;;;
XXo6JbN_i_WpsXp_C5zPPg;Madison;-0.0003588516746411483;Madison Circus Space;3;4.5;Event Planning & Services,Fitness & Instruction,Performing Arts,Local Services,Arts & Entertainment,Community Service/Non-Profit,Active Life,Venues & Event Spaces;1;;;;1;1;;;;
93rggk3d57B49FsHISfiYw;Madison;-0.00021793713930682858;Anytime Garage Door Repair;8;5.0;Home Services,Garage Door Services;1;;;;;;;;;
sZyoRWVCCr_Hrj82AynIAw;Madison;-0.0004784688995215311;Central Park;4;4.5;Active Life,Parks;;;;;;;;;;
SRrLzl_1gKisaGy3c69uIA;Madison;-0.0006964060388283597;Eyemart Express;12;3.5;Health & Medical,Eyewear & Opticians,Optometrists,Shopping;1;1;;;;;;;;
2GyeJSLoobATU1tjeU1jpA;Madison;-0.0009569377990430622;Paradigm Gardens;8;4.5;Shopping,Home & Garden,Nurseries & Gardening;1;1;;;;;;;;
0JLUC5A6Vk78qyitcWqGMQ;Madison;-0.0004784688995215311;Pdq Food Stores;4;3.0;Gas Stations,Food,Convenience Stores,Automotive;1;;;;;;;;;
5Y-p9QJLrg2P0I8RjJ9TTQ;Madison;-0.0009569377990430622;Chang Jiang;9;3.0;Restaurants,Chinese;;;1;;;;;;;
n_8suHvITWk-1qLhNefmag;Madison;-0.00011961722488038278;Wisconsin Dental Solutions;3;5.0;Cosmetic Dentists,Oral Surgeons,Dentists,Health & Medical,General Dentistry,Medical Centers;1;;;;;;;;;
gxr4EQjEgohrCNSUHeLLuQ;Madison;-0.0004784688995215311;Madison Oral Surgery & Dental Implants;7;4.5;Dentists,Medical Centers,General Dentistry,Oral Surgeons,Health & Medical;1;;;;;;;;;
Hm3PtOoOI-0mghpZytYqyQ;Madison;-0.0003588516746411483;Baldwin Eye Care;3;3.5;Optometrists,Health & Medical;1;;;;;;;;;
rMZE4yAqCRuD9AjYoMCITw;Madison;-4.9159957213222905e-05;Advanced Pain Management;3;2.0;Doctors,Health & Medical,Pain Management;1;;;;;;;;;
-EJZRlgLXORMaR_8XMRH2w;Madison;-0.00040801163185437124;Center for Oral & Maxillofacial Surgery;5;4.0;Dentists,Oral Surgeons,Health & Medical,General Dentistry;1;;;;;;;;;
e7g34ikXUrH1jonV9ggaWQ;Madison;-0.0003588516746411483;Chalet Ski & Patio;5;2.5;Shopping,Sporting Goods,Office Equipment,Furniture Stores,Home & Garden,Ski & Snowboard Shops;;1;;;;;;;;
J77Dyu44UhypN7PyRRd9RQ;Madison;-0.0017238011055385818;Octopus Car Wash;20;3.0;Car Wash,Automotive;1;;;;;;;;;
EZdLmNto9A5FjkTK2oU66w;Madison;-0.0006964060388283597;Greenway Station Shopping Center;9;3.0;Fashion,Shopping,Women's Clothing,Shopping Centers;;1;;;;;;;;
Biou7Y1vSm5nFtJBecUHsA;Madison;-0.0003588516746411483;Wright Vision Care;3;4.0;Shopping,Eyewear & Opticians,Health & Medical,Optometrists;1;1;;;;;;;;
GdnLAgRXt43eISMtJEOZRg;Madison;-0.005522088353413654;Sushi Express;76;3.5;Japanese,Restaurants,Sushi Bars;;;1;;;;;;;
sHNIPQEuBNEYIFM85suTgQ;Madison;-0.0003588516746411483;Gless Nails Spa;3;1.5;Beauty & Spas,Nail Salons;;1;;;;;;;;
XsqeR20R2MsEULWpitLwCA;Madison;-0.0008651832209219653;Verizon;12;2.5;Professional Services,Internet Service Providers,Mobile Phones,Shopping,Electronics,Home Services;1;1;;;;;;;;
B7wipW2uZRj7syuQiRTH4A;Madison;-0.0008864805313759023;Pickle Jar;11;4.0;Barbeque,Restaurants,Food Trucks,Local Flavor,Food;;;1;;;;;;;
oEXuU_YJJ3rtdeIo_0YDaA;Madison;-0.00011961722488038278;Ultra1 Studioz;3;3.5;Professional Services,IT Services & Computer Repair,Local Services,Web Design;1;;;;;;;;;
0TIusMZZqD7G0BYIcBzx2A;Madison;-0.0004784688995215311;Dorn True Value Hardware;5;4.5;Home Services,Building Supplies,Hardware Stores,Shopping,Home & Garden,Wholesale Stores;1;1;;;;;;;;
3QfcfPCJSo0z2v1bkdUemQ;Madison;-0.0024972297483394504;Restaurant Magnus;34;4.0;Nightlife,Restaurants;;;1;1;;;;;;
Y5Vbtaj_pkrhb99V4Q-53Q;Madison;-0.0017025037950846448;Denny's;19;3.0;American (Traditional),Diners,Restaurants,Breakfast & Brunch;;;1;;;;;;;
RMkBZDwEbcv5Ctd-a2A0Lw;Madison;-0.004776522357372072;Gino's Italian Deli;62;4.0;Restaurants,Sandwiches,Specialty Food,Grocery,Food,Pizza,Italian,Delis;1;;1;;;;;;;
hvazqoUUIZEISCu5CiWKPA;Madison;-9.831991442644581e-05;Arbat;5;4.0;Restaurants,Russian;;;1;;;;;;;
29o-qEDIRpXmVmSPNsH4sA;Madison;-0.0041473709831350925;Vin Santo;109;4.0;Italian,Restaurants;;;1;;;;;;;
