_id;area_id;ratio;name;review_count;stars;categories;Offices & work premises;Shops & consumptive activies;Cafés & restaurants;Nightclubs & bars;Sport stadia & events;Cinemas & concert & theatres;Museums & art galleries;Public mobility;Monuments;Private transports
1_3nOM7s9WqnJWTNu2-i8Q;Montréal;-0.0004852517707050997;Le Bistro Balmoral;8;3.0;Arts & Entertainment,Festivals,Restaurants,French,Gastropubs;;;1;;;;;;;
-ooEO2YqDQVYNHnSF2BPfw;Montréal;-0.0009429700451072052;Restaurant Lucca;11;4.5;Italian,Restaurants;;;1;;;;;;;
c_XbaJqhm-5ycSBOkVUBmg;Montréal;-0.0030736838123684405;Don Taco;33;3.5;Restaurants,Mexican;;;1;;;;;;;
SJAggfn8ta7XLD98XD2mkw;Montréal;-3.9152452760216614e-05;QDC Burger;11;3.0;Burgers,Fast Food,Restaurants;;;1;;;;;;;
z0BQG6LJOmd8E7cNuMtH0A;Montréal;-7.09815324517603e-05;Jet Club;3;1.5;Comedy Clubs,Nightlife,Shopping;;1;;1;;1;;;;
sG3jr8wLMpncvwvu8JM1Dw;Montréal;-0.00034328870580157915;Jimi Music Store;3;3.5;Musical Instruments & Teachers,Shopping;1;1;;;;;;;;
d7AtQMYDUh40DeJinidFNQ;Montréal;-0.00034328870580157915;2 Cochons;3;3.5;Restaurants,Sandwiches,Delicatessen,Asian Fusion,Food,Cafes;;;1;;;;;;;
_ltkVUDwaI0MTxv8g21k1A;Montréal;-0.00018541110105228667;Manchu Wok;3;3.0;Fast Food,Restaurants,Chinese;;;1;;;;;;;
i8BUEXriiKa-RmOImgbqaQ;Montréal;-0.0022640856653876567;Philemon Bar;48;3.5;Bars,Wine Bars,Nightlife;;;1;1;;;;;;
V75NLjJ8YokBD-lM2p_5Rw;Montréal;-0.00034328870580157915;Angry Monkey MMA;3;5.0;Martial Arts,Fitness & Instruction,Boxing,Gyms,Active Life,Trainers;;1;;;1;;;;;
t2Eg5QRgLg9DWUeMe_Duhg;Montréal;-0.0007373488208205971;Sarah B.;23;3.5;Bars,Nightlife,Cocktail Bars;;;;1;;;;;;
4K1_LooJ7smBLJcKaGMjUg;Montréal;-0.0005286998068538657;Hestia;6;4.5;Coffee & Tea,Food;;;1;;;;;;;
YgPz8vB7tw1B61qi_NLP9w;Montréal;-0.001428221815812305;Kesté;18;4.0;Italian,Restaurants;;;1;;;;;;;
75MOveOQwQYbKR02rULdHA;Montréal;-0.0004577182744021055;Restaurant de Wang Ji;5;3.5;Restaurants,Chinese;;;1;;;;;;;
WO5uv-M-u5AG24PiRLYnZA;Montréal;-0.0004142702382533394;La Citronnelle;7;4.0;Chinese,Restaurants,Vietnamese,Asian Fusion;;;1;;;;;;;
H0Zq06uQqHI3we2I_3wNxA;Montréal;-0.0004142702382533394;Sweet Lee's Rustic Bakery;5;4.5;Bakeries,Food,Desserts;;;1;;;;;;;
XjbPr3o-YTsticeavLjTEg;Montréal;-0.0012862587509087846;Hooters;20;2.0;Barbeque,Sports Bars,Restaurants,Nightlife,Bars,Chicken Wings;;;1;1;;;;;;
lUSd0oIMqN4qbFJWX8mIzA;Montréal;-0.0002998406696528131;McDonald's;4;4.0;Fast Food,Restaurants,Burgers;;;1;;;;;;;
QAXFmt__jImnIEvhAVZsJA;Montréal;-0.0016729954928591296;Boston Pizza;17;2.0;Restaurants,Pizza;;;1;;;;;;;
i-ywLm8zqwvtYobrk3DjxQ;Montréal;-0.0015818038371730478;Le Rouge Bar;32;3.5;Dance Clubs,Bars,Nightlife;;;;1;;;;;;
HVd718KlG6VdY5oh5LH7mQ;Montréal;-0.0006865774116031583;Restaurant Xi'An Lina Tang;7;3.0;Chinese,Restaurants;;;1;;;;;;;
0RrHQNdsMK3jPlK4f9_wWA;Montréal;-0.0006706628717573864;Presse Café;10;2.5;Sandwiches,Food,Restaurants,Coffee & Tea,Breakfast & Brunch;;;1;;;;;;;
03bL5yYHb-chhJwyeSAkfQ;Montréal;-0.0016295474567103634;Student Tasty Biryani;19;4.0;Indian,Restaurants,Pakistani;;;1;;;;;;;
rwVTDmt906xgKVlEVNItWw;Montréal;-0.00022885913720105275;Freak C'est Chic (Le);3;1.5;Beauty & Spas;;1;;;;;;;;
WUiijvxhIfOs7_4yrG8j8A;Montréal;-0.0025247738822802533;Strøm;42;4.0;Beauty & Spas,Day Spas;;1;;;;;;;;
R0vOUWx_N9a6TeDtcnRTWQ;Montréal;-0.0002361825102697257;Rainspa;22;4.0;Beauty & Spas,Nail Salons,Massage,Day Spas;;1;;;;;;;;
LjqS416neuQCaolmUy2mrA;Montréal;-0.00034328870580157915;Boulangerie 1001 Grains;4;4.5;Food,Bakeries;;;1;;;;;;;
-pexuIf6nAyzhNSN6wQsTA;Montréal;-0.003175226630803318;Boulangerie Guillaume;66;4.5;Bakeries,Food;;;1;;;;;;;
7cemzdOZx3EE6nNP4z31vA;Montréal;0.00030413625304136254;Loggia (La);7;4.5;Bed & Breakfast,Event Planning & Services,Hotels & Travel,Hotels;1;;;;;;;;;
Ga7UBeAUwsohodzynhwYsw;Montréal;0.00018970668444083616;Residence Inn by Marriott Montreal Airport;8;4.5;Hotels,Event Planning & Services,Hotels & Travel;1;;;;;;;;;
EvgLL1f_uYcOo7SOtHmIJg;Montréal;-7.09815324517603e-05;Q Spa;3;1.0;Day Spas,Beauty & Spas;;1;;;;;;;;
9L8UgjIvLfwylrFacB2HuA;Montréal;-0.0011283811461594918;Café Holts;15;4.0;Restaurants,Canadian (New),American (New),Cafes,French;;;1;;;;;;;
S8U36nyoFtThaLgQtSIYaA;Montréal;-0.00022885913720105275;Idéal Nature Salon;3;3.0;Nail Salons,Beauty & Spas,Hair Salons;;1;;;;;;;;
7W9I_S3llnTAW1B-iCoM6g;Montréal;-0.0011834481387654804;La Bulle au Carré;24;3.5;Creperies,Restaurants,Cafes;;;1;;;;;;;
bwE6ur74Gd4BTaXBHudsCQ;Montréal;-0.0002998406696528131;Pomme Frite;7;5.0;Restaurants,Burgers,Fast Food;;;1;;;;;;;
C9YuhkggOBn6Agai93M9mg;Montréal;-0.00034328870580157915;Istori Resto Bar Billard;3;3.5;Casinos,Nightlife,Arts & Entertainment,Pool Halls;;;;1;;;;;;
