_id;area_id;ratio;name;review_count;stars;categories;Offices & work premises;Shops & consumptive activies;Cafés & restaurants;Nightclubs & bars;Sport stadia & events;Cinemas & concert & theatres;Museums & art galleries;Public mobility;Monuments;Private transports
He-G7vWjzVUysIKrfNbPUQ;Pittsburgh;-0.00022367177860698297;Stephen Szabo Salon;11;3.0;Hair Stylists,Hair Salons,Men's Hair Salons,Blow Dry/Out Services,Hair Extensions,Beauty & Spas;;1;;;;;;;;
EsMcGiZaQuG1OOvL9iUFug;Pittsburgh;-0.00037466994931830517;Any Given Sundae;15;5.0;Coffee & Tea,Ice Cream & Frozen Yogurt,Food;;;1;;;;;;;
XOSRcvtaKc_Q5H1SAzN20A;Pittsburgh;-0.0001691665726852374;East Coast Coffee;3;4.5;Breakfast & Brunch,Gluten-Free,Coffee & Tea,Food,Restaurants,Sandwiches;;;1;;;;;;;
NmZtoE3v8RdSJEczYbMT9g;Pittsburgh;-7.4557259535661e-05;Complete Dental Care;5;2.0;General Dentistry,Dentists,Endodontists,Cosmetic Dentists,Health & Medical,Orthodontists;1;;;;;;;;;
FmGZh8ZwEnSO860_2eiYHw;Pittsburgh;-0.0001691665726852374;Enterprise Rent-A-Car;4;3.0;Hotels & Travel,Car Rental;1;;;;;;;;;
EJFdWX908N8Yc2XG0Lky8A;Pittsburgh;-0.00018733497465915259;River Moon Cafe;5;4.0;Cafes,Restaurants;;;1;;;;;;;
o1fTwfqN0sDFNpV1CkOPPg;Pittsburgh;-0.0006183937815392035;Crazy Mocha Coffee;16;3.5;Restaurants,Sandwiches,Coffee & Tea,Food;;;1;;;;;;;
-nHkhiuerqmfBG3v2v9O-g;Pittsburgh;-0.000281944287808729;Bruegger's Bagels;5;2.5;Breakfast & Brunch,Bagels,Restaurants,Bakeries,Sandwiches,Food;;;1;;;;;;;
HcEJ2YiSLX_mT3RE0hvKWQ;Pittsburgh;-0.0006165101298992034;Blush;21;3.0;Nightlife,Adult Entertainment,Strip Clubs;;;;1;;;;;;
shNBn6mTKxZ124yPC_H02Q;Pittsburgh;-5.63888575617458e-05;T.W.Tile;3;3.5;Kitchen & Bath,Countertop Installation,Home Services,Tiling,Contractors,Shopping,Home & Garden;1;1;;;;;;;;
T5CdfrZWw-uW9Y5L_sddqQ;Pittsburgh;-0.00035650154734439;Police Station Pizza;9;3.0;Pizza,Restaurants;;;1;;;;;;;
mLP-jIIRdoaYM7fJqqFurw;Pittsburgh;-0.0017041831739062884;Napoli Pizzeria;53;4.0;Italian,Pizza,Restaurants,Salad;;;1;;;;;;;
htKaC4cHY4wlB4Wqb8CDnQ;Pittsburgh;-0.0001127777151234916;Allure;4;4.0;Accessories,Women's Clothing,Fashion,Shopping;;1;;;;;;;;
7m9ux0KgTe2NwUU0XA_9xQ;Pittsburgh;-0.0005438365220035426;Double Take Auto Detailing;14;4.5;Automotive,Auto Detailing,Mobile Dent Repair,Auto Upholstery,Auto Glass Services;1;;;;;;;;;
LOeVGnlOti05f86ZZbgY7Q;Pittsburgh;-0.0001127777151234916;Coyle Auto Body;3;3.5;Automotive,Auto Repair,Body Shops;1;1;;;;;;;;
Qs7X8UTwtp9SvtxvEP4hLg;Pittsburgh;-0.00020550337663306778;Fine Wine & Good Spirits - Premium Collection;7;5.0;Beer,Wine & Spirits,Food;;;;1;;;;;;
lBNPDcSvmUbq7W69HvmRTA;Pittsburgh;-0.0007894440058644411;Pizza Hut;15;1.5;Italian,Pizza,Chicken Wings,Restaurants;;;1;;;;;;;
LaWNGoxsBBrzm6C7Driz5Q;Pittsburgh;-1.8168401973915193e-05;Shear Talent;4;5.0;Hair Extensions,Nail Salons,Makeup Artists,Hair Salons,Permanent Makeup,Beauty & Spas;;1;;;;;;;;
ualXxlORdVbDlW-Ukww0QQ;Pittsburgh;-0.0001691665726852374;Monro Muffler Brake & Service;4;3.0;Auto Repair,Oil Change Stations,Tires,Automotive;1;;;;;;;;;
bLva9YGmDcnar3YKHE2XzA;Pittsburgh;-0.0011440619015688311;Tutti Frutti Frozen Yogurt;31;3.5;Food,Ice Cream & Frozen Yogurt;;;1;;;;;;;
fktJOSE49u-QQRlhoXlS0Q;Pittsburgh;-0.0001691665726852374;American Eagle Outfitters;3;3.5;Women's Clothing,Men's Clothing,Shopping,Fashion,Accessories,Sports Wear,Sporting Goods;;1;;;;;;;;
j37Z4LIXTH9j6KOq9aX8DQ;Pittsburgh;-0.0056908391960302385;Beer Emporium;169;3.5;Beer,Wine & Spirits,American (New),Restaurants,Nightlife,Food,Bars,Belgian,Sandwiches,Pubs;;;1;1;;;;;;
UFHwS_Bb5IrVYFWGutkY7A;Pittsburgh;-0.0003383331453704748;Fluhme Glam Bar;6;5.0;Wedding Planning,Beauty & Spas,Eyelash Service,Makeup Artists,Nail Salons,Event Planning & Services;1;1;;;;;;;;
4RhyluqR0eXERECBLallXQ;Pittsburgh;-0.0014661102966053907;Sugar & Spice;28;4.0;Food,Food Trucks,Specialty Food,Candy Stores,Ice Cream & Frozen Yogurt;;;1;;;;;;;
v1GHndXuUkDdV-gNCSldQQ;Pittsburgh;-0.00013094611709740678;The Exchange;5;3.0;Books,Mags,Music & Video,Shopping,Music & DVDs,Videos & Video Game Rental;;1;;;;;;;;
575BoZY8tDPcfSRcdsUNLw;Pittsburgh;-0.0019335059074332723;Eat'n Park;42;3.0;American (New),American (Traditional),Restaurants,Breakfast & Brunch,Diners;;;1;;;;;;;
fsvIASOJFSZohU2qmbMc7Q;Pittsburgh;-0.0009385585249357633;Highland Park;20;5.0;Active Life,Playgrounds,Parks;;;;;;;;;;
EjNf9cqCK9V5xChJXhxnLw;Pittsburgh;-0.0001691665726852374;Dots and Doodles;4;4.0;Arts & Entertainment;;;;;;;;;;
2cfzQGANxuIGcCUrlwnV7w;Pittsburgh;-0.0008076124078383564;Popeyes Louisiana Kitchen;18;2.0;Fast Food,Chicken Wings,Southern,Restaurants;;;1;;;;;;;
JxSmlL_MckX0dvS5XBg0Cg;Pittsburgh;-0.001893401800205441;Olympos Gyros;48;4.0;Greek,Restaurants,American (New);;;1;;;;;;;
cs2VDcXDee_jzJoPT_fycA;Pittsburgh;0.00034586775193047565;Motel 6;16;2.5;Hotels & Travel,Hotels,Event Planning & Services;1;;;;;;;;;
5rinwJ0Xs-Ay5GmAnzjO8Q;Pittsburgh;-0.0001691665726852374;Levelz;3;1.0;Bars,Lounges,Nightlife;;;;1;;;;;;
h8m4WRcH4TgMFNFfAkfypg;Pittsburgh;-1.6284750333914964e-05;Groovy;7;5.0;Antiques,Shopping,Toy Stores;;1;;;;;;;;
IeHlFrVmHzfyaGzdx01l_g;Pittsburgh;7.644091117566121e-05;Kim Quyen Nail Salon;3;4.0;Beauty & Spas,Nail Salons;;1;;;;;;;;
