_id;area_id;ratio;name;review_count;stars;categories;Offices & work premises;Shops & consumptive activies;Cafés & restaurants;Nightclubs & bars;Sport stadia & events;Cinemas & concert & theatres;Museums & art galleries;Public mobility;Monuments;Private transports
o9eMRCWt5PkpLDE0gOPtcQ;Stuttgart;-0.00012958388259229022;Messina;5;4.0;Italian,Restaurants;;;1;;;;;;;
nAFI7JZEhmvUKMKSA_5Chg;Stuttgart;-0.0011238456726640443;Nesenbach;7;2.5;Cafes,Nightlife,Wine Bars,Bars,Restaurants;;;1;1;;;;;;
-McKyjNSqS1h9dDJH3dyUA;Stuttgart;-0.0031559565587704137;Restaurant Plenum;15;3.5;Restaurants,Coffee & Tea,Cafes,German,Food;;;1;;;;;;;
by_hdCLqAMHW8EEfPYjktA;Stuttgart;-0.00216169476869866;Vital Lunch;6;3.0;Food,Caterers,Restaurants,Fast Food,French,Event Planning & Services,Food Delivery Services;1;;1;;;;;;;
2deqdywFPZxDA6F2rVnE1w;Stuttgart;-0.00025916776518458045;Fellbacher Weingärtner;7;4.5;Food,Arts & Entertainment,Wineries,Beer,Wine & Spirits;;;1;1;;;;;;
fx2GjJQyFb4FbueV0vX-KA;Stuttgart;-0.007824510437981743;Restaurant Speisemeisterei;40;4.5;German,International,Food,Restaurants,French,Specialty Food,Modern European;;;1;;;;;;;
1vU_fJZ8B8oCc7S4dtRuEw;Stuttgart;-0.0045825573025819;ristorante musica é;20;3.5;Restaurants,Italian;;;1;;;;;;;
f-ZCLP1SL1a8qvTrPBI-DQ;Stuttgart;-0.00012958388259229022;Ungarisches Restaurant Bei Melinda;3;4.0;Restaurants,Hungarian;;;1;;;;;;;
dcGq4lhHAuPpKYHcLP_Xmg;Stuttgart;0.0003027550711474417;Rita's Garden;3;2.5;Indian,Restaurants;;;1;;;;;;;
ZW3-ZSDdPX-WSUFR8-_OFQ;Stuttgart;-0.0012970168612191958;McFIT;5;4.0;Fitness & Instruction,Gyms,Active Life;;1;;;1;;;;;
d3ldypgDKM9voImL4Sd1qQ;Stuttgart;-0.001426600743811486;korbmayer;5;4.0;Shopping,Fashion;;1;;;;;;;;
0g1uU280KFaGT9ZhhCrfhg;Stuttgart;-0.0005619228363320222;Ristorante Pizzeria La Taverna da Enzo;4;3.0;Restaurants,Pizza;;;1;;;;;;;
UxabpWEP0L3PT6syGLSgqw;Stuttgart;-0.00289561075828954;Restaurant Madagascar;31;4.0;Bars,African,Cocktail Bars,Restaurants,Nightlife;;;1;1;;;;;;
PYg9hhTfuE1HMwzXCAl1Hg;Stuttgart;-0.003327949712029272;Tiffany Thaistyle;28;3.5;Restaurants,Thai;;;1;;;;;;;
SG9ZNAjQr-SoTaweuL6ORg;Stuttgart;-0.0005619228363320222;Aldi;3;4.0;Fashion,Grocery,Shopping,Discount Store,Department Stores,Food;1;1;;;;;;;;
DDv2jmA0XYO5H40agMGfoQ;Stuttgart;-0.0012970168612191958;Cafe Merlin;6;4.0;Coffee & Tea,Restaurants,Food,Pubs,Bars,Cafes,Nightlife;;;1;1;;;;;;
9gC44DSWlq2Zg0QzLGx4og;Stuttgart;-0.0017293558149589277;Billards Fellbach;7;4.0;Cafes,Nightlife,Restaurants,Bars,Pool Halls;;;1;1;;;;;;
CVS4vhkO9oUH0oQ6iJucaw;Stuttgart;-0.00674425207128056;Baran Kebab;23;4.5;Kebab,Food,Restaurants;;;1;;;;;;;
zXa-mSXf9rQoTHySNCdK1w;Stuttgart;-0.014698346391854591;tobi´s;69;3.5;Curry Sausage,Swabian,German,Restaurants,Fast Food;;;1;;;;;;;
WD7BcIvufAjfjOWb_GBLQw;Stuttgart;-0.0006915067189243124;L.A. The Art Of Ink;6;4.5;Beauty & Spas,Tattoo;;1;;;;;;;;
P_2Mbq-0Xpzcw7_8tH8Ctw;Stuttgart;-0.0008646779074794639;Bessey Bäckerei und Konditorei;3;3.5;Patisserie/Cake Shop,Bakeries,Food;;;1;;;;;;;
3HfRVRP7dWzOzrfbZmzk-Q;Stuttgart;-0.00043233895373973193;Petrosilius;3;3.5;Food;;;;;;;;;;
U--sWG_V9cBFs2-Fi4vPvg;Stuttgart;-0.0012970168612191958;Sumoshi;3;3.5;Restaurants,Sushi Bars,Japanese,Pan Asian;;;1;;;;;;;
F9fiPoAXqtyOh1DMGi6H4Q;Stuttgart;0.00034634237711030297;Restaurant Weinstube;8;2.0;Restaurants,German,Food,Beer,Wine & Spirits;;;1;1;;;;;;
tAayweHA0dCq3J0W3y6psg;Stuttgart;-0.005879574163801096;Divan Restaurant;33;4.0;Turkish,Restaurants;;;1;;;;;;;
sgS4aTQakESwh72WWn2MKA;Stuttgart;-0.0017293558149589277;Bäckerei Bürkle;7;4.0;Grocery,Food,Bakeries;1;;1;;;;;;;
