_id;area_id;ratio;name;review_count;stars;categories;Offices & work premises;Shops & consumptive activies;Cafés & restaurants;Nightclubs & bars;Sport stadia & events;Cinemas & concert & theatres;Museums & art galleries;Public mobility;Monuments;Private transports
xcgFnd-MwkZeO5G2HQ0gAQ;Toronto;-0.0007134475622516891;T & T Bakery and Cafe;38;4.0;Bakeries,Bagels,Food;;;1;;;;;;;
l09JfMeQ6ynYs5MCJtrcmQ;Toronto;-0.00021917535261664023;Alize Catering;12;3.0;Italian,French,Restaurants;;;1;;;;;;;
Gu-xs3NIQTj3Mj2xYoN2aw;Toronto;-0.0006776701143139879;Maxim Bakery & Restaurant;34;3.5;French,Food,Bakeries,Restaurants;;;1;;;;;;;
lHYiCS-y8AFjUitv6MGpxg;Toronto;-0.00036957649097867833;Starbucks;21;4.0;Food,Coffee & Tea;;;1;;;;;;;
PMH4oUa-bWELKogdtkWewg;Toronto;-0.0002549528005543414;GoodLife Fitness;16;2.0;Fitness & Instruction,Sports Clubs,Gyms,Trainers,Active Life;;1;;;1;;;;;
VSGcuYDV3q-AAZ9ZPq4fBQ;Toronto;-0.0001146236904243369;Sportster's;7;2.5;Bars,Sports Bars,Nightlife;;;;1;;;;;;
1K4qrnfyzKzGgJPBEcJaNQ;Toronto;-0.0007693690666534574;Chula Taberna Mexicana;39;3.5;Tiki Bars,Nightlife,Mexican,Restaurants,Bars;;;1;1;;;;;;
AtdXq_gu9NTE5rx4ct_dGg;Toronto;-0.00013754842850920428;DAVIDsTEA;6;4.0;Coffee & Tea,Food,Tea Rooms;;;1;;;;;;;
nbhBRhZtdaZmMMeb2i02pg;Toronto;-4.584947616973476e-05;Sunnyside Grill;3;5.0;Restaurants,Breakfast & Brunch;;;1;;;;;;;
FXHfcFVEfI1vVngW2gVOpw;Toronto;-0.0008666293822345275;Bampot House of Tea & Board Games;55;4.0;Coffee & Tea,Restaurants,Food,Mediterranean,Tea Rooms;;;1;;;;;;;
spDZkD6cp0JUUm6ghIWHzA;Toronto;-0.0015717348996238157;Kitchen M;80;3.0;Restaurants,Chinese;;;1;;;;;;;
PEKloTo1IkW_gyxp15e8Dg;Toronto;-0.0001146236904243369;Amy's Lash & Beauty Spa;7;3.5;Eyelash Service,Beauty & Spas;;1;;;;;;;;
LL01hTt_eVdp-ws4zMDsrw;Toronto;-4.584947616973476e-05;Pil Son;3;5.0;Health & Medical,General Dentistry,Dentists;1;;;;;;;;;
VXH7zXcZzXlmAVN8GSjGRQ;Toronto;-9.169895233946952e-05;Thai Express;5;3.0;Imported Food,Specialty Food,Thai,Ethnic Food,Food,Restaurants;;;1;;;;;;;
aFBCmJUYrPeol_P75QX7Jw;Toronto;-0.001623145739035151;Fraticelli's Authentic Italian Grill;88;3.0;Restaurants,Italian;;;1;;;;;;;
dTWfATVrBfKj7Vdn0qWVWg;Toronto;-0.0001146236904243369;Flavor Cuisine;6;3.0;Restaurants,Chinese,Food Court;;;1;;;;;;;
1nhf9BPXOBFBkbRkpsFaxA;Toronto;-0.0001146236904243369;Mirage Grill & Lounge;6;2.0;Breakfast & Brunch,Food,Coffee & Tea,Canadian (New),Restaurants;;;1;;;;;;;
sJ0MYSAIVK28cMzh-s-NPA;Toronto;-0.00039806259230514625;Amaya Express;34;2.5;Indian,Restaurants,Fast Food;;;1;;;;;;;
gIVjdDWRnS1yDVpPF3oUeg;Toronto;-0.00018339790467893904;Pizza Pizza;8;4.0;Italian,Chicken Wings,Fast Food,Restaurants,Pizza;;;1;;;;;;;
WSZL9uQ9JMOrrulMKEl7Tw;Toronto;-0.0006418926663762866;Mayze;32;4.5;Arcades,Arts & Entertainment,Party & Event Planning,Escape Games,Event Planning & Services,Active Life;1;1;;;;;;;;
v3tBN6s8BhotnjA7GncQnQ;Toronto;-2.292473808486738e-05;Curves;3;3.5;Health & Medical,Active Life,Weight Loss Centers,Fitness & Instruction,Trainers,Nutritionists,Gyms;1;1;;;1;;;;;
JmKgz6n7zn24F-WkgT-kiA;Toronto;-0.00010455166219230333;Maki My Way;7;4.5;Restaurants,Sushi Bars,Japanese,Asian Fusion;;;1;;;;;;;
lZ18HyZhfrrN_VAJIpyhxQ;Toronto;-0.0005272689759519498;X-Nail & Spa;25;3.0;Hair Salons,Beauty & Spas,Nail Salons;;1;;;;;;;;
UlI0TksGFiIXtcbtg2KalQ;Toronto;-0.000611676581680186;Mi Pho Song Vu;38;2.5;Restaurants,Thai,Vietnamese,Chinese;;;1;;;;;;;
98YzjvO45DRRvqrNv0hhAA;Toronto;-0.0016683159300864205;TTC - Toronto Transit Commision;131;2.5;Hotels & Travel,Transportation,Public Transportation;;;;;;;;1;;
t8yi2l7pZF43Rlf9_lHdDA;Toronto;-0.0004512034150861143;Hero Certified Burgers - King & Yonge;29;2.5;Burgers,Restaurants;;;1;;;;;;;
XSrN9gtLHC8MtUnSobZfDQ;Toronto;-0.0002448807723223079;Condom Shack;18;4.0;Shopping,Adult;;1;;1;;;;;;
5GAXZ7gJ81TSR0-Q6AMp_A;Toronto;-0.00016047316659407166;Via Panini;7;4.0;Italian,Restaurants;;;1;;;;;;;
XG0twdTiMzUS3v3p9OZbJA;Toronto;-6.877421425460214e-05;Winners;3;3.0;Fashion,Women's Clothing,Accessories,Shopping;;1;;;;;;;;
4SBY4CHiMD8YOCEU9_fdnw;Toronto;-4.584947616973476e-05;Fidora Salon and Spa;3;4.0;Day Spas,Hair Salons,Beauty & Spas;;1;;;;;;;;
JdzoBklGL66IPFxGkJ2lQA;Toronto;-9.169895233946952e-05;Shizen Spa;4;3.5;Massage,Nail Salons,Skin Care,Day Spas,Beauty & Spas;;1;;;;;;;;
